Activity,Type,Start,Finish,Details
Diapers,Mixed,"2021-09-05,  4:21 PM","2021-09-05,  4:21 PM",
Feeding,Left breast,"2021-09-05,  3:55 PM","2021-09-05,  4:01 PM",
Feeding,Right breast,"2021-09-05,  2:13 PM","2021-09-05,  2:22 PM",
Sleep,,"2021-09-05,  2:05 PM","2021-09-05,  3:50 PM",
Feeding,Right breast,"2021-09-05,  1:52 PM","2021-09-05,  1:58 PM",
Diapers,Wet,"2021-09-05,  1:51 PM","2021-09-05,  1:51 PM",
Feeding,Solids,"2021-09-05,  1:30 PM","2021-09-05,  1:30 PM","egg, bell pepper, tortilla"
Feeding,Solids,"2021-09-05,  11:40 AM","2021-09-05,  11:40 AM","oatmeal, blueberry"
Diapers,Wet,"2021-09-05,  11:30 AM","2021-09-05,  11:30 AM",
Diapers,Mixed,"2021-09-05,  9:45 AM","2021-09-05,  9:45 AM",
Feeding,Left breast,"2021-09-05,  9:16 AM","2021-09-05,  9:21 AM",
Sleep,,"2021-09-05,  7:43 AM","2021-09-05,  9:14 AM",
Feeding,Left breast,"2021-09-05,  7:36 AM","2021-09-05,  7:42 AM",
Feeding,Right breast,"2021-09-05,  6:51 AM","2021-09-05,  7:10 AM",
Diapers,Wet,"2021-09-05,  6:49 AM","2021-09-05,  6:49 AM",
Feeding,Left breast,"2021-09-05,  4:59 AM","2021-09-05,  5:17 AM",
Feeding,Right breast,"2021-09-05,  1:52 AM","2021-09-05,  2:01 AM",
Feeding,Left breast,"2021-09-05,  12:50 AM","2021-09-05,  1:05 AM",
Feeding,Right breast,"2021-09-04,  10:28 PM","2021-09-04,  10:37 PM",
Sleep,,"2021-09-04,  10:25 PM","2021-09-05,  7:15 AM",
Feeding,Right breast,"2021-09-04,  10:19 PM","2021-09-04,  10:22 PM",
Feeding,Right breast,"2021-09-04,  10:15 PM","2021-09-04,  10:17 PM",
Feeding,Right breast,"2021-09-04,  10:09 PM","2021-09-04,  10:12 PM",
Feeding,Solids,"2021-09-04,  8:21 PM","2021-09-04,  8:21 PM","yogurt, egg, milk, nectarine, apple, kiwi, spinach"
Diapers,Wet,"2021-09-04,  8:15 PM","2021-09-04,  8:15 PM",
Leisure,Outdoors,"2021-09-04,  7:20 PM","2021-09-04,  8:10 PM",
Diapers,Wet,"2021-09-04,  6:49 PM","2021-09-04,  6:49 PM",
Feeding,Solids,"2021-09-04,  5:20 PM","2021-09-04,  5:20 PM","banana, tortilla, peanut butter, crisp bread, kefir"
Diapers,Wet,"2021-09-04,  4:40 PM","2021-09-04,  4:40 PM",
Feeding,Left breast,"2021-09-04,  4:24 PM","2021-09-04,  4:25 PM",
Feeding,Left breast,"2021-09-04,  4:21 PM","2021-09-04,  4:24 PM",
Feeding,Left breast,"2021-09-04,  4:12 PM","2021-09-04,  4:16 PM",
Sleep,,"2021-09-04,  2:02 PM","2021-09-04,  3:59 PM",
Feeding,Right breast,"2021-09-04,  1:52 PM","2021-09-04,  2:24 PM",
Feeding,Solids,"2021-09-04,  1:13 PM","2021-09-04,  1:13 PM","baguette, butter and cheese"
Diapers,Wet,"2021-09-04,  12:30 PM","2021-09-04,  12:30 PM",
Feeding,Solids,"2021-09-04,  11:10 AM","2021-09-04,  11:10 AM","blueberry, oatmeal"
Diapers,Wet,"2021-09-04,  10:50 AM","2021-09-04,  10:50 AM",
Diapers,Wet,"2021-09-04,  9:20 AM","2021-09-04,  9:20 AM",
Feeding,Left breast,"2021-09-04,  8:44 AM","2021-09-04,  8:51 AM",
Diapers,Wet,"2021-09-04,  8:42 AM","2021-09-04,  8:42 AM",
Feeding,Right breast,"2021-09-04,  7:20 AM","2021-09-04,  7:29 AM",
Feeding,Left breast,"2021-09-04,  5:34 AM","2021-09-04,  5:46 AM",
Feeding,Left breast,"2021-09-04,  3:45 AM","2021-09-04,  3:54 AM",
Feeding,Right breast,"2021-09-04,  1:31 AM","2021-09-04,  1:34 AM",
Feeding,Right breast,"2021-09-04,  1:23 AM","2021-09-04,  1:28 AM",
Sleep,,"2021-09-03,  9:40 PM","2021-09-04,  8:36 AM",
Feeding,Left breast,"2021-09-03,  9:29 PM","2021-09-03,  9:34 PM",
Leisure,Bath time,"2021-09-03,  8:55 PM","2021-09-03,  9:14 PM",
Diapers,Wet,"2021-09-03,  8:50 PM","2021-09-03,  8:50 PM",
Feeding,Solids,"2021-09-03,  8:01 PM","2021-09-03,  8:01 PM","yogurt, banana, plum, apple, biscuits, bread, butter, cheese"
Leisure,Outdoors,"2021-09-03,  6:16 PM","2021-09-03,  8:50 PM",
Growth,Weight,"2021-09-03,  5:25 PM","2021-09-03,  5:25 PM",11.3kg
Diapers,Mixed,"2021-09-03,  5:23 PM","2021-09-03,  5:23 PM",
Feeding,Solids,"2021-09-03,  4:23 PM","2021-09-03,  4:23 PM","crepes, milk, crisp bread"
Diapers,Mixed,"2021-09-03,  3:37 PM","2021-09-03,  3:37 PM",
Feeding,Right breast,"2021-09-03,  2:23 PM","2021-09-03,  2:51 PM",
Feeding,Left breast,"2021-09-03,  1:00 PM","2021-09-03,  1:12 PM",
Sleep,,"2021-09-03,  12:51 PM","2021-09-03,  3:05 PM",
Diapers,Wet,"2021-09-03,  12:48 PM","2021-09-03,  12:48 PM",
Feeding,Solids,"2021-09-03,  12:02 PM","2021-09-03,  12:02 PM","bread, butter, cheese, oatmeal, banana"
Diapers,Wet,"2021-09-03,  11:55 AM","2021-09-03,  11:55 AM",
Feeding,Solids,"2021-09-03,  10:00 AM","2021-09-03,  10:00 AM","banana, crisp bread"
Diapers,Wet,"2021-09-03,  9:28 AM","2021-09-03,  9:28 AM",
Feeding,Right breast,"2021-09-03,  8:53 AM","2021-09-03,  8:59 AM",
Feeding,Left breast,"2021-09-03,  8:30 AM","2021-09-03,  8:31 AM",
Feeding,Left breast,"2021-09-03,  8:26 AM","2021-09-03,  8:29 AM",
Sleep,,"2021-09-03,  6:05 AM","2021-09-03,  8:26 AM",
Feeding,Right breast,"2021-09-03,  6:03 AM","2021-09-03,  6:05 AM",
Feeding,Left breast,"2021-09-03,  5:50 AM","2021-09-03,  5:53 AM",
Feeding,Left breast,"2021-09-03,  5:30 AM","2021-09-03,  5:35 AM",
Diapers,Wet,"2021-09-03,  5:25 AM","2021-09-03,  5:25 AM",
Feeding,Left breast,"2021-09-03,  5:17 AM","2021-09-03,  5:20 AM",
Feeding,Right breast,"2021-09-03,  5:00 AM","2021-09-03,  5:10 AM",
Feeding,Left breast,"2021-09-03,  2:29 AM","2021-09-03,  2:45 AM",
Feeding,Right breast,"2021-09-03,  12:00 AM","2021-09-03,  12:10 AM",
Sleep,,"2021-09-02,  9:40 PM","2021-09-03,  5:17 AM",
Feeding,Left breast,"2021-09-02,  9:35 PM","2021-09-02,  9:36 PM",
Feeding,Left breast,"2021-09-02,  9:29 PM","2021-09-02,  9:31 PM",
Diapers,Wet,"2021-09-02,  8:49 PM","2021-09-02,  8:49 PM",
Feeding,Solids,"2021-09-02,  8:05 PM","2021-09-02,  8:05 PM","apple, yogurt, crisp bread"
Leisure,Outdoors,"2021-09-02,  6:33 PM","2021-09-02,  8:39 PM",
Diapers,Wet,"2021-09-02,  6:18 PM","2021-09-02,  6:18 PM",
Feeding,Solids,"2021-09-02,  5:02 PM","2021-09-02,  5:02 PM","crisp bread, kefir and yogurt (refused the rest)"
Diapers,Dirty,"2021-09-02,  4:20 PM","2021-09-02,  4:20 PM",diarrhea
Feeding,Right breast,"2021-09-02,  3:51 PM","2021-09-02,  3:54 PM",
Feeding,Left breast,"2021-09-02,  1:36 PM","2021-09-02,  1:54 PM",
Sleep,,"2021-09-02,  1:24 PM","2021-09-02,  3:45 PM",
Diapers,Mixed,"2021-09-02,  1:01 PM","2021-09-02,  1:01 PM",diarrhea
Feeding,Solids,"2021-09-02,  11:48 AM","2021-09-02,  11:48 AM",naan bread and cheese
Diapers,Wet,"2021-09-02,  11:10 AM","2021-09-02,  11:10 AM",
Feeding,Right breast,"2021-09-02,  11:00 AM","2021-09-02,  11:05 AM",
Feeding,Right breast,"2021-09-02,  10:42 AM","2021-09-02,  10:49 AM",
Diapers,Wet,"2021-09-02,  9:56 AM","2021-09-02,  9:56 AM",
Feeding,Solids,"2021-09-02,  9:00 AM","2021-09-02,  9:00 AM","oatmeal, peach, plum"
Diapers,Mixed,"2021-09-02,  8:15 AM","2021-09-02,  8:15 AM",
Feeding,Right breast,"2021-09-02,  7:51 AM","2021-09-02,  7:54 AM",
Diapers,Wet,"2021-09-02,  7:46 AM","2021-09-02,  7:46 AM",
Feeding,Left breast,"2021-09-02,  7:37 AM","2021-09-02,  7:38 AM",
Feeding,Left breast,"2021-09-02,  7:25 AM","2021-09-02,  7:36 AM",
Feeding,Right breast,"2021-09-02,  4:53 AM","2021-09-02,  5:07 AM",
Feeding,Right breast,"2021-09-02,  1:26 AM","2021-09-02,  1:30 AM",
Feeding,Right breast,"2021-09-02,  1:10 AM","2021-09-02,  1:12 AM",
Feeding,Left breast,"2021-09-02,  1:01 AM","2021-09-02,  1:01 AM",
Feeding,Left breast,"2021-09-02,  12:57 AM","2021-09-02,  12:59 AM",
Feeding,Left breast,"2021-09-02,  12:40 AM","2021-09-02,  12:48 AM",
Feeding,Left breast,"2021-09-02,  12:28 AM","2021-09-02,  12:30 AM",
Sleep,,"2021-09-01,  9:00 PM","2021-09-02,  7:25 AM",
Diapers,Wet,"2021-09-01,  8:12 PM","2021-09-01,  8:12 PM",
Leisure,Bath time,"2021-09-01,  8:11 PM","2021-09-01,  8:30 PM",
Feeding,Solids,"2021-09-01,  7:43 PM","2021-09-01,  7:43 PM","kefir, banana, pear, chicken balls, salmon, egg, milk, oatmeal, cheese"
Leisure,Outdoors,"2021-09-01,  5:38 PM","2021-09-01,  8:10 PM",
Feeding,Right breast,"2021-09-01,  5:21 PM","2021-09-01,  5:24 PM",
Diapers,Wet,"2021-09-01,  5:15 PM","2021-09-01,  5:15 PM",
Feeding,Solids,"2021-09-01,  3:20 PM","2021-09-01,  3:20 PM","chicken balls, oatmeal, egg, milk, cheese, yogurt, dates"
Diapers,Dirty,"2021-09-01,  1:42 PM","2021-09-01,  1:42 PM",loose stool
Diapers,Mixed,"2021-09-01,  1:30 PM","2021-09-01,  1:30 PM",
Feeding,Left breast,"2021-09-01,  1:05 PM","2021-09-01,  1:19 PM",
Sleep,,"2021-09-01,  11:24 AM","2021-09-01,  1:18 PM",
Feeding,Right breast,"2021-09-01,  11:22 AM","2021-09-01,  11:22 AM",
Feeding,Right breast,"2021-09-01,  11:16 AM","2021-09-01,  11:19 AM",
Feeding,Right breast,"2021-09-01,  11:09 AM","2021-09-01,  11:12 AM",
Diapers,Wet,"2021-09-01,  11:04 AM","2021-09-01,  11:04 AM",
Feeding,Solids,"2021-09-01,  9:16 AM","2021-09-01,  9:16 AM",cottage cheese and nectarine
Diapers,Wet,"2021-09-01,  8:45 AM","2021-09-01,  8:45 AM",
Feeding,Left breast,"2021-09-01,  7:37 AM","2021-09-01,  7:38 AM",
Feeding,Left breast,"2021-09-01,  7:24 AM","2021-09-01,  7:27 AM",
Diapers,Wet,"2021-09-01,  7:11 AM","2021-09-01,  7:11 AM",
Feeding,Right breast,"2021-09-01,  7:01 AM","2021-09-01,  7:01 AM",
Feeding,Right breast,"2021-09-01,  7:01 AM","2021-09-01,  7:01 AM",
Feeding,Right breast,"2021-09-01,  6:53 AM","2021-09-01,  7:00 AM",
Feeding,Left breast,"2021-09-01,  3:40 AM","2021-09-01,  3:44 AM",
Feeding,Left breast,"2021-09-01,  3:11 AM","2021-09-01,  3:14 AM",
Feeding,Left breast,"2021-09-01,  3:05 AM","2021-09-01,  3:10 AM",
Feeding,Right breast,"2021-09-01,  12:25 AM","2021-09-01,  12:40 AM",
Sleep,,"2021-08-31,  10:05 PM","2021-09-01,  6:52 AM",
Feeding,Left breast,"2021-08-31,  9:47 PM","2021-08-31,  9:50 PM",
Diapers,Wet,"2021-08-31,  9:17 PM","2021-08-31,  9:17 PM",
Feeding,Solids,"2021-08-31,  8:15 PM","2021-08-31,  8:15 PM","salmon, egg, milk, corn, bread, cheese, ice cream"
Leisure,Outdoors,"2021-08-31,  6:35 PM","2021-08-31,  9:02 PM",
Growth,Head,"2021-08-31,  5:43 PM","2021-08-31,  5:43 PM",47.5cm
Growth,Weight,"2021-08-31,  5:43 PM","2021-08-31,  5:43 PM",10.9kg
Feeding,Solids,"2021-08-31,  5:17 PM","2021-08-31,  5:17 PM","chicken balls, corn, yogurt"
Diapers,Mixed,"2021-08-31,  4:45 PM","2021-08-31,  4:45 PM",
Feeding,Right breast,"2021-08-31,  4:28 PM","2021-08-31,  4:30 PM",
Feeding,Right breast,"2021-08-31,  4:14 PM","2021-08-31,  4:17 PM",
Feeding,Left breast,"2021-08-31,  2:32 PM","2021-08-31,  2:37 PM",
Sleep,,"2021-08-31,  2:11 PM","2021-08-31,  4:03 PM",
Feeding,Left breast,"2021-08-31,  2:07 PM","2021-08-31,  2:07 PM",
Feeding,Left breast,"2021-08-31,  2:04 PM","2021-08-31,  2:06 PM",
Diapers,Mixed,"2021-08-31,  1:05 PM","2021-08-31,  1:05 PM",
Feeding,Solids,"2021-08-31,  12:45 PM","2021-08-31,  12:45 PM","egg, milk, bread, cheese, plum"
Feeding,Right breast,"2021-08-31,  11:51 AM","2021-08-31,  11:53 AM",
Feeding,Right breast,"2021-08-31,  11:47 AM","2021-08-31,  11:49 AM",
Feeding,Left breast,"2021-08-31,  11:43 AM","2021-08-31,  11:45 AM",
Feeding,Left breast,"2021-08-31,  11:39 AM","2021-08-31,  11:42 AM",
Feeding,Right breast,"2021-08-31,  11:26 AM","2021-08-31,  11:30 AM",
Diapers,Wet,"2021-08-31,  11:10 AM","2021-08-31,  11:10 AM",
Feeding,Solids,"2021-08-31,  10:05 AM","2021-08-31,  10:05 AM","cottage cheese, nectarine"
Diapers,Wet,"2021-08-31,  9:40 AM","2021-08-31,  9:40 AM",
Diapers,Wet,"2021-08-31,  8:20 AM","2021-08-31,  8:20 AM",
Feeding,Left breast,"2021-08-31,  8:07 AM","2021-08-31,  8:07 AM",
Feeding,Left breast,"2021-08-31,  8:06 AM","2021-08-31,  8:06 AM",
Feeding,Left breast,"2021-08-31,  7:55 AM","2021-08-31,  7:56 AM",
Feeding,Left breast,"2021-08-31,  7:53 AM","2021-08-31,  7:54 AM",
Feeding,Left breast,"2021-08-31,  7:45 AM","2021-08-31,  7:51 AM",
Feeding,Right breast,"2021-08-31,  5:28 AM","2021-08-31,  5:35 AM",
Feeding,Left breast,"2021-08-31,  2:00 AM","2021-08-31,  2:06 AM",
Feeding,Right breast,"2021-08-31,  1:01 AM","2021-08-31,  1:10 AM",
Feeding,Left breast,"2021-08-30,  11:19 PM","2021-08-30,  11:25 PM",
Sleep,,"2021-08-30,  9:21 PM","2021-08-31,  7:49 AM",
Feeding,Right breast,"2021-08-30,  9:12 PM","2021-08-30,  9:50 PM",
Diapers,Wet,"2021-08-30,  8:40 PM","2021-08-30,  8:40 PM",
Leisure,Bath time,"2021-08-30,  8:35 PM","2021-08-30,  8:56 PM",
Feeding,Solids,"2021-08-30,  8:06 PM","2021-08-30,  8:06 PM",
Leisure,Outdoors,"2021-08-30,  6:50 PM","2021-08-30,  8:16 PM",
Diapers,Wet,"2021-08-30,  6:30 PM","2021-08-30,  6:30 PM",
Feeding,Left breast,"2021-08-30,  6:18 PM","2021-08-30,  6:20 PM",
Feeding,Left breast,"2021-08-30,  6:15 PM","2021-08-30,  6:18 PM",
Diapers,Wet,"2021-08-30,  5:50 PM","2021-08-30,  5:50 PM",
Feeding,Solids,"2021-08-30,  4:29 PM","2021-08-30,  4:29 PM","corn, yogurt, plum, nectarine"
Feeding,Right breast,"2021-08-30,  3:42 PM","2021-08-30,  3:44 PM",
Feeding,Right breast,"2021-08-30,  3:39 PM","2021-08-30,  3:40 PM",
Feeding,Right breast,"2021-08-30,  3:29 PM","2021-08-30,  3:31 PM",
Diapers,Wet,"2021-08-30,  3:16 PM","2021-08-30,  3:16 PM",
Feeding,Solids,"2021-08-30,  2:55 PM","2021-08-30,  2:55 PM","salmon, egg, milk, bread, cheese"
Diapers,Wet,"2021-08-30,  1:10 PM","2021-08-30,  1:10 PM",
Feeding,Left breast,"2021-08-30,  12:53 PM","2021-08-30,  12:55 PM",
Feeding,Left breast,"2021-08-30,  12:38 PM","2021-08-30,  12:40 PM",
Feeding,Right breast,"2021-08-30,  11:41 AM","2021-08-30,  11:48 AM",
Sleep,,"2021-08-30,  11:36 AM","2021-08-30,  12:55 PM",
Feeding,Right breast,"2021-08-30,  11:24 AM","2021-08-30,  11:28 AM",
Diapers,Wet,"2021-08-30,  11:18 AM","2021-08-30,  11:18 AM",
Feeding,Solids,"2021-08-30,  8:30 AM","2021-08-30,  8:30 AM","cream wheat and oatmeal, strawberry, peach, nectarine"
Diapers,Wet,"2021-08-30,  8:10 AM","2021-08-30,  8:10 AM",
Feeding,Left breast,"2021-08-30,  8:06 AM","2021-08-30,  8:12 AM",
Feeding,Right breast,"2021-08-30,  6:52 AM","2021-08-30,  6:55 AM",
Feeding,Left breast,"2021-08-30,  6:12 AM","2021-08-30,  6:29 AM",
Feeding,Right breast,"2021-08-30,  4:20 AM","2021-08-30,  4:27 AM",
Feeding,Left breast,"2021-08-30,  2:44 AM","2021-08-30,  2:51 AM",
Feeding,Right breast,"2021-08-30,  12:21 AM","2021-08-30,  12:25 AM",
Feeding,Left breast,"2021-08-29,  11:29 PM","2021-08-29,  11:42 PM",
Feeding,Right breast,"2021-08-29,  9:43 PM","2021-08-29,  9:59 PM",
Sleep,,"2021-08-29,  9:33 PM","2021-08-30,  8:00 AM",
Feeding,Right breast,"2021-08-29,  9:25 PM","2021-08-29,  9:28 PM",
Diapers,Wet,"2021-08-29,  9:04 PM","2021-08-29,  9:04 PM",
Feeding,Solids,"2021-08-29,  8:12 PM","2021-08-29,  8:12 PM","kefir, apple, strawberry, spinach, chicken balls"
Diapers,Wet,"2021-08-29,  8:03 PM","2021-08-29,  8:03 PM",
Leisure,Outdoors,"2021-08-29,  6:46 PM","2021-08-29,  7:59 PM",
Diapers,Wet,"2021-08-29,  6:04 PM","2021-08-29,  6:04 PM",
Feeding,Solids,"2021-08-29,  4:44 PM","2021-08-29,  4:44 PM","ate very little: salmon, chicken ball, bell pepper, watermelon"
Diapers,Dirty,"2021-08-29,  4:16 PM","2021-08-29,  4:16 PM",
Diapers,Wet,"2021-08-29,  4:05 PM","2021-08-29,  4:05 PM",
Feeding,Left breast,"2021-08-29,  3:31 PM","2021-08-29,  3:31 PM",
Feeding,Left breast,"2021-08-29,  3:21 PM","2021-08-29,  3:23 PM",
Sleep,,"2021-08-29,  1:54 PM","2021-08-29,  3:15 PM",
Feeding,Right breast,"2021-08-29,  1:47 PM","2021-08-29,  1:52 PM",
Diapers,Wet,"2021-08-29,  1:46 PM","2021-08-29,  1:46 PM",
Feeding,Solids,"2021-08-29,  12:54 PM","2021-08-29,  12:54 PM","egg, milk, strawberry, peach, nectarine, bread, cheese, butter"
Feeding,Left breast,"2021-08-29,  11:45 AM","2021-08-29,  11:45 AM",
Feeding,Left breast,"2021-08-29,  11:43 AM","2021-08-29,  11:44 AM",
Feeding,Left breast,"2021-08-29,  11:25 AM","2021-08-29,  11:31 AM",
Feeding,Solids,"2021-08-29,  10:50 AM","2021-08-29,  10:50 AM","cottage cheese, strawberry, peach"
Diapers,Wet,"2021-08-29,  10:45 AM","2021-08-29,  10:45 AM",
Diapers,Wet,"2021-08-29,  9:40 AM","2021-08-29,  9:40 AM",
Diapers,Wet,"2021-08-29,  8:00 AM","2021-08-29,  8:00 AM",
Feeding,Right breast,"2021-08-29,  7:45 AM","2021-08-29,  7:52 AM",
Feeding,Left breast,"2021-08-29,  6:10 AM","2021-08-29,  6:21 AM",
Feeding,Right breast,"2021-08-29,  4:39 AM","2021-08-29,  4:49 AM",
Feeding,Left breast,"2021-08-29,  2:38 AM","2021-08-29,  2:50 AM",
Feeding,Right breast,"2021-08-29,  12:53 AM","2021-08-29,  12:56 AM",
Feeding,Right breast,"2021-08-29,  12:44 AM","2021-08-29,  12:48 AM",
Sleep,,"2021-08-28,  9:35 PM","2021-08-29,  7:38 AM",
Feeding,Left breast,"2021-08-28,  9:27 PM","2021-08-28,  9:29 PM",
Diapers,Wet,"2021-08-28,  8:54 PM","2021-08-28,  8:54 PM",
Diapers,Wet,"2021-08-28,  8:01 PM","2021-08-28,  8:01 PM",
Feeding,Solids,"2021-08-28,  8:00 PM","2021-08-28,  8:00 PM","kefir, chicken balls, pasta, bread, banana, strawberry, crisp bread, dried bagel"
Leisure,Outdoors,"2021-08-28,  6:55 PM","2021-08-28,  8:00 PM",
Diapers,Wet,"2021-08-28,  5:55 PM","2021-08-28,  5:55 PM",
Feeding,Solids,"2021-08-28,  4:30 PM","2021-08-28,  4:30 PM","salmon, chicken balls, pasta, watermelon"
Diapers,Wet,"2021-08-28,  4:21 PM","2021-08-28,  4:21 PM",
Feeding,Right breast,"2021-08-28,  3:07 PM","2021-08-28,  3:23 PM",
Sleep,,"2021-08-28,  1:28 PM","2021-08-28,  3:21 PM",
Feeding,Left breast,"2021-08-28,  1:19 PM","2021-08-28,  1:23 PM",
Feeding,Right breast,"2021-08-28,  12:41 PM","2021-08-28,  12:43 PM",
Feeding,Right breast,"2021-08-28,  12:29 PM","2021-08-28,  12:37 PM",
Feeding,Right breast,"2021-08-28,  12:16 PM","2021-08-28,  12:25 PM",
Diapers,Wet,"2021-08-28,  12:10 PM","2021-08-28,  12:10 PM",
Diapers,Wet,"2021-08-28,  11:00 AM","2021-08-28,  11:00 AM",
Feeding,Solids,"2021-08-28,  10:00 AM","2021-08-28,  10:00 AM","cottage cheese, strawberry"
Diapers,Mixed,"2021-08-28,  9:31 AM","2021-08-28,  9:31 AM",
Feeding,Right breast,"2021-08-28,  9:04 AM","2021-08-28,  9:08 AM",
Feeding,Left breast,"2021-08-28,  8:47 AM","2021-08-28,  8:54 AM",
Feeding,Left breast,"2021-08-28,  8:39 AM","2021-08-28,  8:39 AM",
Feeding,Left breast,"2021-08-28,  5:17 AM","2021-08-28,  5:18 AM",
Sleep,,"2021-08-28,  5:16 AM","2021-08-28,  8:56 AM",
Feeding,Right breast,"2021-08-28,  5:02 AM","2021-08-28,  5:07 AM",
Feeding,Left breast,"2021-08-28,  4:55 AM","2021-08-28,  4:57 AM",
Feeding,Right breast,"2021-08-28,  4:49 AM","2021-08-28,  4:50 AM",
Feeding,Right breast,"2021-08-28,  4:45 AM","2021-08-28,  4:46 AM",
Feeding,Right breast,"2021-08-28,  4:40 AM","2021-08-28,  4:43 AM",
Feeding,Left breast,"2021-08-28,  4:33 AM","2021-08-28,  4:35 AM",
Feeding,Left breast,"2021-08-28,  4:27 AM","2021-08-28,  4:29 AM",
Feeding,Left breast,"2021-08-28,  4:24 AM","2021-08-28,  4:25 AM",
Feeding,Left breast,"2021-08-28,  4:21 AM","2021-08-28,  4:23 AM",
Diapers,Wet,"2021-08-28,  4:14 AM","2021-08-28,  4:14 AM",
Feeding,Right breast,"2021-08-28,  4:06 AM","2021-08-28,  4:07 AM",
Feeding,Right breast,"2021-08-28,  1:14 AM","2021-08-28,  1:14 AM",
Sleep,,"2021-08-28,  1:12 AM","2021-08-28,  4:00 AM",
Feeding,Right breast,"2021-08-28,  1:08 AM","2021-08-28,  1:10 AM",
Feeding,Left breast,"2021-08-28,  12:55 AM","2021-08-28,  12:57 AM",
Feeding,Left breast,"2021-08-28,  12:52 AM","2021-08-28,  12:55 AM",
Feeding,Left breast,"2021-08-28,  12:44 AM","2021-08-28,  12:47 AM",
Sleep,,"2021-08-27,  8:26 PM","2021-08-28,  12:35 AM",
Feeding,Right breast,"2021-08-27,  8:19 PM","2021-08-27,  8:37 PM",
Feeding,Right breast,"2021-08-27,  8:16 PM","2021-08-27,  8:19 PM",
Leisure,Bath time,"2021-08-27,  7:52 PM","2021-08-27,  8:12 PM",
Feeding,Solids,"2021-08-27,  6:56 PM","2021-08-27,  6:56 PM","mango, passion fruit, oatmeal, egg, milk, bread, ice cream, crisp bread"
Leisure,Outdoors,"2021-08-27,  4:56 PM","2021-08-27,  7:32 PM",
Diapers,Wet,"2021-08-27,  4:42 PM","2021-08-27,  4:42 PM",
Feeding,Left breast,"2021-08-27,  4:09 PM","2021-08-27,  4:09 PM",
Feeding,Left breast,"2021-08-27,  4:02 PM","2021-08-27,  4:05 PM",
Diapers,Wet,"2021-08-27,  3:24 PM","2021-08-27,  3:24 PM",
Feeding,Solids,"2021-08-27,  2:13 PM","2021-08-27,  2:13 PM","chicken balls, pasta, cheese, nectarine, yogurt, celery (spit out)"
Diapers,Wet,"2021-08-27,  1:10 PM","2021-08-27,  1:10 PM",
Feeding,Right breast,"2021-08-27,  12:31 PM","2021-08-27,  12:35 PM",
Feeding,Right breast,"2021-08-27,  12:20 PM","2021-08-27,  12:25 PM",
Sleep,,"2021-08-27,  10:17 AM","2021-08-27,  12:14 PM",
Feeding,Left breast,"2021-08-27,  10:12 AM","2021-08-27,  10:15 AM",
Feeding,Left breast,"2021-08-27,  10:03 AM","2021-08-27,  10:06 AM",
Feeding,Right breast,"2021-08-27,  9:54 AM","2021-08-27,  9:55 AM",
Feeding,Right breast,"2021-08-27,  9:48 AM","2021-08-27,  9:54 AM",
Diapers,Wet,"2021-08-27,  9:30 AM","2021-08-27,  9:30 AM",
Feeding,Solids,"2021-08-27,  9:00 AM","2021-08-27,  9:00 AM","fried egg, bread"
Diapers,Wet,"2021-08-27,  7:15 AM","2021-08-27,  7:15 AM",
Feeding,Left breast,"2021-08-27,  7:04 AM","2021-08-27,  7:05 AM",
Feeding,Left breast,"2021-08-27,  6:53 AM","2021-08-27,  6:57 AM",
Feeding,Left breast,"2021-08-27,  6:44 AM","2021-08-27,  6:49 AM",
Feeding,Right breast,"2021-08-27,  4:37 AM","2021-08-27,  4:50 AM",
Feeding,Left breast,"2021-08-27,  1:25 AM","2021-08-27,  1:26 AM",
Feeding,Left breast,"2021-08-27,  1:17 AM","2021-08-27,  1:20 AM",
Feeding,Right breast,"2021-08-26,  9:28 PM","2021-08-26,  9:36 PM",
Sleep,,"2021-08-26,  9:21 PM","2021-08-27,  6:40 AM",
Feeding,Right breast,"2021-08-26,  9:12 PM","2021-08-26,  9:14 PM",
Diapers,Wet,"2021-08-26,  8:40 PM","2021-08-26,  8:40 PM",
Feeding,Solids,"2021-08-26,  7:53 PM","2021-08-26,  7:53 PM",
Leisure,Outdoors,"2021-08-26,  6:40 PM","2021-08-26,  8:29 PM",
Diapers,Wet,"2021-08-26,  6:21 PM","2021-08-26,  6:21 PM",
Feeding,Solids,"2021-08-26,  5:08 PM","2021-08-26,  5:08 PM","salmon, pasta, cheese, cucumber, crisp bread"
Diapers,Wet,"2021-08-26,  5:00 PM","2021-08-26,  5:00 PM",
Feeding,Left breast,"2021-08-26,  4:14 PM","2021-08-26,  4:14 PM",
Feeding,Left breast,"2021-08-26,  4:11 PM","2021-08-26,  4:12 PM",
Feeding,Left breast,"2021-08-26,  4:06 PM","2021-08-26,  4:07 PM",
Feeding,Left breast,"2021-08-26,  3:54 PM","2021-08-26,  3:58 PM",
Diapers,Wet,"2021-08-26,  3:07 PM","2021-08-26,  3:07 PM",
Feeding,Right breast,"2021-08-26,  2:53 PM","2021-08-26,  2:55 PM",
Sleep,,"2021-08-26,  1:03 PM","2021-08-26,  2:49 PM",
Feeding,Left breast,"2021-08-26,  12:56 PM","2021-08-26,  12:58 PM",
Diapers,Wet,"2021-08-26,  12:50 PM","2021-08-26,  12:50 PM",
Feeding,Solids,"2021-08-26,  11:40 AM","2021-08-26,  11:40 AM","bread, cheese"
